"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "GraphQL", "Markdown", "JSON with Comments", "JSON", "YAML", "SCSS", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/tooltip/tooltip.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/tooltip/userTooltip.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/kishore/Documents/Github/QuietChat/extension/src/constants.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/chatBox/chatBox.styles.tsx", "TypeScript React", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 79
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/chatBox/chatBox.tsx", "TypeScript React", 187, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 205
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/chatStats/chatStats.styles.tsx", "TypeScript React", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 117
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/chatStats/chatStats.tsx", "TypeScript React", 176, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 205
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/commentButton/commentButton.styles.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/commentButton/commentButton.tsx", "TypeScript React", 111, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 130
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/commentCard/commentCard.styles.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/commentCard/commentCard.tsx", "TypeScript React", 203, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 228
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/commentInterface/commentInterface.styles.tsx", "TypeScript React", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 216
