"filename", "language", "TypeScript", "XML", "TypeScript React", "CSS", "JSON", "JSON with Comments", "GraphQL", "YAML", "Markdown", "HTML", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/comments/commentGroup.tsx", "TypeScript React", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 5, 55
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/comments/comments.styles.tsx", "TypeScript React", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 3, 83
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/comments/comments.tsx", "TypeScript React", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 3, 5, 64
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/favorites/favorites.styles.tsx", "TypeScript React", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/favorites/favorites.tsx", "TypeScript React", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/feed/feed.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/header/header.styles.tsx", "TypeScript React", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 3, 109
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/header/header.tsx", "TypeScript React", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/home-header/homeHeader.styles.tsx", "TypeScript React", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 3, 125
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/home-header/homeHeader.tsx", "TypeScript React", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/home/home.styles.tsx", "TypeScript React", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/home/home.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/login/login.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 45
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/login/login.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/movieThread/movieThread.styled.tsx", "TypeScript React", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/movieThread/movieThread.tsx", "TypeScript React", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 4, 8, 108
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/notFound/notFound.styles.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/notFound/notFound.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/notifications/NotificationsModule.tsx", "TypeScript React", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/notifications/notification.styles.tsx", "TypeScript React", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/notifications/notificationCard.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/panels/center-panel/centerPanel.styles.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/panels/center-panel/centerPanel.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/panels/left-panel/leftPanel.styles.tsx", "TypeScript React", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/panels/left-panel/leftPanel.tsx", "TypeScript React", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 1, 6, 143
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/panels/right-panel/rightPanel.styles.tsx", "TypeScript React", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 66
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/panels/right-panel/rightPanel.tsx", "TypeScript React", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 3, 92
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/profile/profile.styles.tsx", "TypeScript React", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 2, 91
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/profile/profile.tsx", "TypeScript React", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
